epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.39489,1.93084,4.03803,1.52591,0.01057,0.11578,0.02486,0.00773,1.95962,4.12047,1.4795,2e-05,2e-05,2e-05
2,7.89759,1.79341,3.95092,1.5127,0.01039,0.11578,0.02035,0.00683,1.92536,4.11739,1.44957,4.901e-05,4.901e-05,4.901e-05
3,12.4484,1.73562,4.01407,1.4239,0.01183,0.12353,0.02245,0.00718,1.8803,4.1154,1.41228,7.6832e-05,7.6832e-05,7.6832e-05
4,16.8063,1.68955,3.87142,1.4259,0.01689,0.14142,0.0274,0.0097,1.80018,4.09646,1.35399,0.000103466,0.000103466,0.000103466
5,20.2911,1.5228,3.77562,1.32533,0.01718,0.14142,0.02371,0.0092,1.74336,4.08866,1.31774,0.000128912,0.000128912,0.000128912
6,24.1115,1.61458,3.78808,1.31255,0.01923,0.15183,0.03169,0.01647,1.65853,4.05828,1.26298,0.00015317,0.00015317,0.00015317
7,27.683,1.64655,3.6694,1.37265,0.02191,0.15303,0.03418,0.0175,1.63984,4.03113,1.2421,0.00017624,0.00017624,0.00017624
8,31.0248,1.57075,3.45692,1.29524,0.02466,0.16854,0.05073,0.02402,1.6267,3.99693,1.22286,0.000198122,0.000198122,0.000198122
9,34.4628,1.59764,3.28356,1.43063,0.02926,0.19445,0.05582,0.02593,1.62346,3.95255,1.21334,0.000218816,0.000218816,0.000218816
10,38.073,1.53047,3.05688,1.32462,0.02829,0.1867,0.05479,0.02512,1.60176,3.90079,1.19655,0.000238322,0.000238322,0.000238322
11,41.8688,1.49573,2.93143,1.29652,0.0432,0.20322,0.07671,0.03933,1.58776,3.83899,1.18475,0.00025664,0.00025664,0.00025664
12,45.4599,1.51912,2.7723,1.29811,0.04839,0.19411,0.08505,0.03962,1.59513,3.73115,1.19408,0.00027377,0.00027377,0.00027377
13,49.6415,1.64055,2.90586,1.35751,0.077,0.26116,0.11542,0.05799,1.63072,3.56733,1.20575,0.000289712,0.000289712,0.000289712
14,53.4528,1.40166,2.62236,1.25974,0.10486,0.33083,0.16012,0.08397,1.65364,3.36149,1.21036,0.000304466,0.000304466,0.000304466
15,57.5118,1.47617,2.57535,1.25973,0.10486,0.33083,0.16012,0.08397,1.65364,3.36149,1.21036,0.000318032,0.000318032,0.000318032
